id,customer_created_at,customer_country,customer_state,year_of_birth
ed96958d-73aa-442a-85f7-c41ef3be0e78,2021-04-29 21:16:12+00:00,USA,PA,1980.0
8e1f8bb6-04b0-4de6-abe1-e8c79e687568,2021-05-23 02:23:17+00:00,USA,AL,1978.0
ca278902-b6b5-4c3c-bc86-f72b55cb648d,2021-05-07 21:20:33+00:00,USA,PA,1989.0
6277ff68-0fe8-43a1-ba0e-39c2ac87f5c9,2021-05-18 07:01:11+00:00,GBR,,1995.0
0cf9dc86-cc5e-4e16-96a5-ce66fae0e67b,2021-05-07 16:25:17+00:00,USA,CA,1975.0
fc72f5d7-584f-4603-a4a1-2a4e227c1d3f,2021-04-23 04:06:55+00:00,GBR,,1988.0
7b42aff1-1018-48c6-9027-f744a13e7f27,2021-04-28 22:21:32+00:00,CAN,AB,1994.0
9a82caa4-b084-4bf3-a98d-6c6f1b21d6a9,2021-05-03 13:12:51+00:00,CAN,AB,1990.0
b0efdc80-fe40-405e-9810-8a32bdbfad0d,2021-04-28 07:29:01+00:00,CAN,BC,1974.0
8a11db83-e930-479d-8aa2-9cb568cc4308,2021-05-02 18:26:11+00:00,CAN,QC,1969.0
adc441fa-1245-4243-80b1-5aeb9bc9b812,2021-05-03 10:29:57+00:00,CAN,NS,1978.0
bbe7434f-1192-40aa-b9b6-6bbb331ea0df,2021-05-03 04:06:50+00:00,CAN,ON,1987.0
94acb2ce-2090-436d-ac86-6b8bc5295ae4,2021-04-27 16:03:40+00:00,CAN,BC,1992.0
bad187f8-fb41-4946-aef6-0bd3a68f2b21,2021-04-29 22:38:42+00:00,CAN,QC,1993.0
cedce2d5-1f66-4992-8d78-8fd73ae45355,2021-05-01 02:31:34+00:00,CAN,BC,1988.0
4a1dbace-7266-4f52-8f60-26afdb8dbc07,2021-04-30 16:12:52+00:00,CAN,MB,1982.0
5b8dc82e-6ad2-4aa4-a3a0-f8dc9eb90041,2021-05-01 22:17:52+00:00,CAN,AB,1987.0
2cbfb47f-a1c1-49fc-b325-a884629192f4,2021-05-03 02:58:55+00:00,CAN,ON,1998.0
15ec30e5-db7b-4b67-8d48-fe340db59268,2021-04-28 23:50:52+00:00,CAN,ON,1984.0
bef74eec-fcf1-4184-9ccc-893585418ff8,2021-04-23 14:05:56+00:00,CAN,NS,1992.0
112fef36-0874-42bb-8999-7f415dfec974,2021-05-03 18:12:45+00:00,CAN,QC,1973.0
c782d941-2d37-4342-b19e-9add6055501b,2021-04-25 01:59:01+00:00,CAN,ON,1996.0
ba75e79b-6560-4329-89e8-98e20b63d243,2021-04-30 01:14:25+00:00,CAN,ON,1997.0
12219b07-4bde-4481-bdca-d612a69944fe,2021-05-03 17:59:38+00:00,CAN,QC,1992.0
7d269837-3d71-4d2a-b9a0-6073515b3440,2021-05-02 22:52:01+00:00,CAN,ON,1955.0
86c22f30-e644-49db-9d65-96bf1b3138c2,2021-05-03 20:34:27+00:00,CAN,ON,1987.0
bd370087-f961-4ef4-b471-a8e449b17013,2021-05-01 11:50:46+00:00,CAN,ON,2001.0
74adcf78-cc1b-4569-8c20-f9adc80c6be2,2021-05-03 03:26:43+00:00,CAN,ON,1991.0
1d643da5-c4c6-4874-beef-98db18268ee7,2021-05-03 02:58:02+00:00,CAN,ON,1989.0
0b541e57-982e-46e6-b2b0-9b3dec45e97c,2021-04-27 23:45:46+00:00,CAN,QC,1987.0
231714bc-f679-4f66-83a2-58f17b4f5057,2021-05-03 19:10:08+00:00,CAN,QC,1995.0
31c4dce0-c7e3-463f-a68d-8c04673c1797,2021-05-03 11:08:32+00:00,CAN,ON,1980.0
cb286699-d27b-4ae9-93a7-a051959d0541,2021-05-02 16:32:56+00:00,CAN,BC,1988.0
9807fdcb-e252-4b8a-aaae-3c13e6cbde6e,2021-04-24 00:33:03+00:00,CAN,AB,1992.0
d33c64a6-22fc-4d15-a839-cfde168e1758,2021-05-03 03:42:55+00:00,CAN,ON,1993.0
1557bdc7-42dd-4d23-9809-8e7800120947,2021-05-01 17:15:06+00:00,CAN,BC,1985.0
f6a7abb8-1fdb-4653-80a9-5363d169eb89,2021-05-02 18:01:11+00:00,CAN,BC,1992.0
3f69d620-45fc-4349-b3b0-e70264b8c096,2021-04-23 01:31:47+00:00,CAN,ON,1959.0
86766e38-71af-4182-b1eb-814d1848ed64,2021-05-03 19:20:07+00:00,CAN,AB,1976.0
e712fb46-febe-494c-9c93-38256721ae13,2021-05-01 12:48:36+00:00,CAN,ON,1984.0
5f3831c3-edc3-4dfe-8acf-77e14a28cac6,2021-04-29 17:46:13+00:00,CAN,ON,1994.0
8fad9cfa-d20a-4d77-a920-404df4b8c808,2021-04-28 05:25:26+00:00,ESP,,1978.0
25d7fc93-a3de-48f1-95df-dea7d00e9605,2021-04-26 19:06:27+00:00,ESP,,1993.0
112dedc5-ebc6-4da1-b16e-24a9eaed5476,2021-05-03 19:44:02+00:00,ESP,,1981.0
e6e3fa86-d5d0-4a97-a0df-c670d8602f83,2021-05-03 17:28:18+00:00,FRA,,1978.0
78d27cbc-e8f0-493c-87b3-3e3c0948d189,2021-05-03 13:42:17+00:00,FRA,,1983.0
14cc05e8-1c61-4633-becb-c98eb6ee9afa,2021-05-03 13:28:16+00:00,FRA,,1983.0
95d79777-6ba7-4425-acbf-979276786a80,2021-05-02 04:58:25+00:00,FRA,,1993.0
212d069c-876c-4247-88fe-767a39240311,2021-04-28 02:53:12+00:00,FRA,,1979.0
74c48e42-6a59-476a-931a-81896d2eb723,2021-05-03 15:36:46+00:00,FRA,,1994.0
dc6d6701-a6ca-44f9-bf55-4d99d81e7993,2021-05-01 19:35:57+00:00,FRA,,1985.0
b0997dff-32e0-42e0-b315-c91e4ddd0d8a,2021-05-03 09:45:25+00:00,FRA,,1966.0
fc5b6dab-e32d-4fe2-85ad-5bdb982f7edb,2021-04-22 05:36:42+00:00,FRA,,1993.0
3f0f034e-e3fc-4bbd-85c1-f57390f9572b,2021-05-02 15:06:55+00:00,FRA,,1997.0
aaf8121a-cb8f-4269-abcd-6a9d64164ccd,2021-04-25 05:49:57+00:00,FRA,,1996.0
eabd5a19-2a53-4682-8fd9-b274a24072c3,2021-05-03 10:14:34+00:00,GBR,,1963.0
e2f6d183-4617-458c-b041-eadab1d562e5,2021-05-01 13:56:19+00:00,GBR,,1995.0
9f314ce3-959f-4bc6-985a-72391f3facb9,2021-04-27 18:35:18+00:00,GBR,,1987.0
43526e96-b699-4509-a81e-447a2eb056f0,2021-04-21 15:59:19+00:00,GBR,,1987.0
770906b7-8bd6-4908-8b7d-c3418a1af7df,2021-04-29 17:54:21+00:00,GBR,,1987.0
81de6c87-8d18-4eb0-b6c7-e6d69bbe61da,2021-04-28 14:30:10+00:00,GBR,,1978.0
56c0883f-efbf-4765-92f7-1d0935f3f960,2021-04-28 18:41:11+00:00,GBR,,2000.0
466d23c0-27b0-43e6-9d46-cfd7d0a12875,2021-05-03 07:15:21+00:00,GBR,,1989.0
e75c70e0-20b0-4955-8d69-0d40e2019b8e,2021-04-30 19:31:48+00:00,GBR,,1988.0
c7d3aca5-7496-4b41-ab94-08b4f40882e4,2021-05-03 09:49:07+00:00,GBR,,1996.0
e1075a2c-ed7e-4753-8d4b-e6150100a1c7,2021-05-03 16:03:14+00:00,GBR,,1991.0
15b27c90-2463-4e14-9a0f-a8577879931b,2021-05-03 04:13:54+00:00,GBR,,1959.0
b4f6c95c-8ea8-40b4-99cb-648ff9f40c0e,2021-05-02 13:07:09+00:00,GBR,,1995.0
83d07755-bf35-4f93-8fd4-ac1a94abfb45,2021-05-03 14:12:32+00:00,GBR,,1989.0
248e5bb1-f6bb-409c-bf71-6c88ea14e6a1,2021-05-03 08:53:06+00:00,GBR,,1985.0
3232cae6-80cb-438f-90f7-994697f25cc5,2021-05-03 06:52:27+00:00,GBR,,2001.0
27a0029c-bbfb-4b14-9c2b-8698d62a6d3d,2021-05-03 15:39:18+00:00,GBR,,1978.0
9d04a509-f174-4de0-8540-be1b087fe470,2021-04-22 08:10:00+00:00,GBR,,1999.0
bf502d7f-ca10-46f9-9560-37665db2c74c,2021-05-02 22:12:35+00:00,GBR,,1996.0
22e06f61-b9bd-42a5-9eaf-1e3cf40d0c35,2021-05-03 18:50:24+00:00,GBR,,1992.0
96516423-d0d2-47e3-ac23-1559e44c20c5,2021-04-28 11:30:14+00:00,GBR,,1997.0
83efe6c0-490b-4f6b-9a54-1772a9d52105,2021-04-26 14:10:20+00:00,GBR,,1989.0
3ad921aa-1312-4e45-882f-c1be3c0c9506,2021-04-26 04:42:23+00:00,GBR,,1983.0
021eb299-7982-49d6-8989-1a61079f35d9,2021-04-29 14:28:56+00:00,GBR,,1984.0
9e7cad0a-12ef-4f80-9bcc-e6f580c8f094,2021-05-03 12:22:59+00:00,GBR,,1990.0
b521d061-d329-4fa1-b90d-98ef825e4771,2021-05-03 10:26:18+00:00,GBR,,1992.0
26a55cee-388e-4b5a-b990-9f59fed5b293,2021-05-03 09:16:22+00:00,GBR,,1983.0
991ba599-300e-40e7-9c48-616aae398039,2021-05-03 00:41:48+00:00,GBR,,2002.0
123e8ddf-1161-4e66-ace7-71d6200d6e4a,2021-05-03 18:48:16+00:00,GBR,,1984.0
de8f6bc0-ab28-4e8a-9bc3-4d7964ac225b,2021-05-03 14:52:35+00:00,GBR,,1959.0
d959d1ee-f33c-4fa2-a00b-57bd3ec02b14,2021-05-03 17:20:44+00:00,GBR,,1955.0
48b08a45-361e-4ef2-a748-379695f433e9,2021-05-01 06:02:53+00:00,USA,FL,1985.0
346b1570-054c-406a-9f5c-3fec4c036c43,2021-05-01 02:51:01+00:00,USA,CA,1962.0
8efb49fc-2700-4ba7-a801-1a3c9875994b,2021-05-02 21:42:29+00:00,USA,CO,1982.0
6e064fcd-c980-4aa1-a7d1-3e8e530b2128,2021-05-01 19:03:32+00:00,USA,AZ,1983.0
4b982296-455f-4b8e-80ee-8cf7a472b67c,2021-04-24 22:47:19+00:00,USA,KS,1987.0
59df57f9-7e72-4c74-8a63-8a219e70d690,2021-04-20 22:14:48+00:00,USA,WA,1979.0
46a73764-989d-40a8-832f-d90f3ba49944,2021-04-30 05:14:30+00:00,USA,AZ,1990.0
a04b0d8d-2602-439b-a3a9-6232fc00f86e,2021-05-01 01:34:58+00:00,USA,NJ,1984.0
47dce0af-76fc-4f03-bfd2-fa81987dc019,2021-05-02 18:27:39+00:00,USA,NJ,1976.0
951c808a-67eb-4255-bd1d-56c046a2c0c6,2021-04-27 15:30:53+00:00,USA,MN,2000.0
0a501e3d-4562-4f87-a3e8-cc84b1f8ffeb,2021-04-30 13:35:09+00:00,USA,NJ,1976.0
bea243c1-37cb-4cd5-bebc-ccad683d2ee2,2021-04-29 20:17:11+00:00,USA,FL,1979.0
a51d4174-043a-49a6-bd6d-ae09bfe046a9,2021-05-01 18:17:41+00:00,USA,LA,1993.0
5a6e2db2-9912-448c-bc86-e595856f38bd,2021-05-03 17:24:08+00:00,USA,CA,1989.0
96cea02e-7d48-4d21-8512-cda5e98e528a,2021-05-03 13:44:49+00:00,USA,GA,1990.0
0b92db0e-71ee-41ff-aab9-99cfeb152640,2021-04-29 14:08:36+00:00,USA,KY,1990.0
91b35ad7-2530-4bcd-b7fd-4d63a73ba222,2021-04-24 19:29:30+00:00,USA,AK,1983.0
6fe037b0-1444-407a-ac7c-fe8955a24d7f,2021-04-29 18:27:48+00:00,USA,AZ,1980.0
5e3fae98-3a45-4506-8d03-022a6ef6e1ca,2021-04-29 17:53:19+00:00,USA,CA,2003.0
249ea68f-ff7a-4e0b-9376-f00a858ef77d,2021-04-30 19:01:46+00:00,USA,TX,1981.0
53016370-6a25-44e0-957f-3ae201d0a23c,2021-05-03 16:08:22+00:00,USA,FL,1980.0
d73ca343-8fa8-4328-83bb-5937a0600bd9,2021-05-03 12:09:42+00:00,USA,ME,1962.0
edf3d78a-3ef5-45b1-ba94-bb938efc61c1,2021-05-02 11:15:17+00:00,USA,AL,1997.0
2990f417-cdde-406c-b6a7-72abc60f00bc,2021-05-03 09:35:11+00:00,USA,LA,1979.0
33dcf38a-8acc-4c46-a8e7-87025d8e4993,2021-05-03 19:02:43+00:00,USA,SC,1973.0
f0135b73-e338-4cdb-b634-80a0e39faf22,2021-05-02 19:21:47+00:00,USA,LA,1997.0
0b47a8ad-a0b9-4910-b205-d1163f1dde59,2021-04-28 02:48:38+00:00,USA,NM,1990.0
e8949574-4004-4ae5-9db1-f4b67abc75cf,2021-04-28 11:31:12+00:00,USA,IN,1997.0
a592ae92-a9c4-4501-a142-b3c5f9895187,2021-05-01 18:05:05+00:00,USA,TX,1989.0
b43cc810-26ad-4381-ad10-5378292e082f,2021-04-29 08:11:45+00:00,USA,CA,1980.0
7a10ee63-c5bc-43f9-8fb7-f7248d4e6e1a,2021-05-03 16:41:19+00:00,USA,FL,1962.0
b6d19ba8-95a7-4119-aba4-4242beba1795,2021-04-23 19:32:49+00:00,USA,TN,1978.0
98b2ccb6-5077-4782-89f4-b392275de37d,2021-05-02 20:56:20+00:00,USA,FL,1975.0
0e2f7160-a79b-4704-aae0-91226550125a,2021-04-29 12:16:09+00:00,USA,MN,1991.0
3561b88d-ef34-462c-a339-b4135054ba5b,2021-05-03 19:45:57+00:00,USA,CA,1965.0
91c7fa3d-e764-4079-9d0e-2eb4bb4bee1f,2021-04-30 21:23:19+00:00,USA,IN,1966.0
a6c10b02-62a8-44a3-a67a-9d68bfdbc05a,2021-04-20 23:25:51+00:00,USA,FL,1984.0
03fa63c8-2e60-44c9-846f-3bdd61b05a6d,2021-04-27 04:53:23+00:00,USA,AK,1982.0
d282ca0e-c958-4f30-ae30-6b778caffe97,2021-04-23 10:42:59+00:00,USA,IL,1979.0
0a14c266-07b8-44b8-8927-21246ef39c1a,2021-05-03 14:09:43+00:00,USA,OH,1947.0
b9a38fd0-c358-444a-b455-47b96978724b,2021-05-03 19:09:01+00:00,USA,MA,1985.0
128a283e-a924-4207-8584-ae83cd64b288,2021-05-01 23:53:42+00:00,USA,CA,1971.0
e67bb006-07cf-4a27-959a-c1a0562e30e6,2021-04-24 23:26:30+00:00,USA,TX,1972.0
6314c0f8-5271-4767-8722-09e045980858,2021-05-02 15:18:25+00:00,USA,IL,2000.0
2dc9c495-c22d-4e79-bb34-2ac74a97c4cb,2021-05-02 14:34:00+00:00,USA,FL,1993.0
